participant_id,episode_index,episode_phase,policy_id,policy_short,metric,metric_value,total_dishes,total_human_steps,n_rounds,team_reward_score,human_reward_score,ai_reward_score,mental_demand,performance_score,ai_steps,emb_x,emb_y
Thinpath_P03,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,ai_reward_score,112.33333333333333,5.0,177.0,3,216.66666666666666,104.33333333333333,112.33333333333333,15.0,8.0,81.0,-44.978638,-33.83267
Thinpath_P04,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,ai_reward_score,1207.6666666666667,17.0,423.0,3,1073.3333333333333,-134.33333333333334,1207.6666666666667,12.0,7.0,135.66666666666666,-34.625923,18.150135
Thinpath_P04,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,ai_reward_score,2080.0,29.0,485.0,3,1998.3333333333333,-81.66666666666667,2080.0,8.0,14.0,170.0,0.52687544,49.09936
Thinpath_P04,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,ai_reward_score,760.6666666666666,19.0,451.0,3,1303.6666666666667,543.0,760.6666666666666,12.0,9.0,96.0,-79.82283,29.541203
Thinpath_P04,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,ai_reward_score,20.666666666666668,12.0,429.0,3,684.3333333333334,663.6666666666666,20.666666666666668,13.0,5.0,116.0,-30.803719,72.97943
Thinpath_P04,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,ai_reward_score,269.3333333333333,13.0,405.0,3,801.0,531.6666666666666,269.3333333333333,9.0,10.0,120.66666666666667,78.770775,-32.54613
Thinpath_P04,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,ai_reward_score,2530.0,34.0,487.0,3,2367.6666666666665,-162.33333333333334,2530.0,7.0,14.0,213.33333333333334,13.387434,25.06189
Thinpath_P04,7,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,ai_reward_score,371.3333333333333,13.0,479.0,3,871.6666666666666,500.3333333333333,371.3333333333333,13.0,7.0,58.666666666666664,20.903227,-76.17148
Thinpath_P04,9,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,ai_reward_score,611.3333333333334,15.0,454.0,3,876.6666666666666,265.3333333333333,611.3333333333334,9.0,8.0,135.33333333333334,39.251617,65.513504
Thinpath_P04,11,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,ai_reward_score,2136.6666666666665,29.0,460.0,3,1990.0,-146.66666666666666,2136.6666666666665,11.0,13.0,203.33333333333334,-1.7208959,-0.7372467
