participant_id,episode_index,episode_phase,policy_id,policy_short,n_rounds,total_dishes,mean_dishes_per_round,total_human_steps,human_steps_per_dish,ai_steps,team_reward_score,human_reward_score,ai_reward_score,mental_demand,performance_score
Thinpath_P03,15,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,3,8.0,2.6666666666666665,231.0,28.875,74.0,539.0,176.33333333333334,362.6666666666667,12.0,11.0
Thinpath_P03,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,3,5.0,1.6666666666666667,177.0,35.4,81.0,216.66666666666666,104.33333333333333,112.33333333333333,15.0,8.0
Thinpath_P03,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,14.0,4.666666666666667,316.0,22.571428571428573,144.66666666666666,886.6666666666666,828.0,58.666666666666664,11.0,13.0
Thinpath_P04,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,3,17.0,5.666666666666667,423.0,24.88235294117647,135.66666666666666,1073.3333333333333,-134.33333333333334,1207.6666666666667,12.0,7.0
Thinpath_P04,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,29.0,9.666666666666666,485.0,16.724137931034484,170.0,1998.3333333333333,-81.66666666666667,2080.0,8.0,14.0
Thinpath_P04,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,3,19.0,6.333333333333333,451.0,23.736842105263158,96.0,1303.6666666666667,543.0,760.6666666666666,12.0,9.0
Thinpath_P04,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,3,12.0,4.0,429.0,35.75,116.0,684.3333333333334,663.6666666666666,20.666666666666668,13.0,5.0
Thinpath_P04,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,3,13.0,4.333333333333333,405.0,31.153846153846153,120.66666666666667,801.0,531.6666666666666,269.3333333333333,9.0,10.0
Thinpath_P04,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,34.0,11.333333333333334,487.0,14.323529411764707,213.33333333333334,2367.6666666666665,-162.33333333333334,2530.0,7.0,14.0
Thinpath_P04,7,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,3,13.0,4.333333333333333,479.0,36.84615384615385,58.666666666666664,871.6666666666666,500.3333333333333,371.3333333333333,13.0,7.0
