round,step,elapsed_sec,selected_agent,obs_1,obs_2,ai_macro_action,ai_macro_name,ai_primitive_action,human_action,human_action_label,reward,done,info
1,21,5.257,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,22,5.508,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,23,5.758,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,24,6.009,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.4, 0.2, 0.0, 1.0, -0.2, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,3,UP,-1.0,False,"{""cur_mac"": [4, 3], ""mac_done"": [true, true], ""collision"": []}"
1,25,6.26,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.4, 0.2, 0.0, 1.0, -0.2, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.4, 0.2, 0.0, 1.0, -0.2, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,26,6.509,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.4, 0.2, 0.0, 1.0, -0.2, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.2, 0.0, 1.0, -0.4, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,3,UP,-1.0,False,"{""cur_mac"": [4, 3], ""mac_done"": [true, true], ""collision"": []}"
1,27,6.759,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.2, 0.0, 1.0, -0.4, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.2, 0.0, 1.0, -0.4, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,28,7.01,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.2, 0.0, 1.0, -0.4, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.4, 0.0, 1.0, -0.4, -0.2, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,0,RIGHT,-1.0,False,"{""cur_mac"": [4, 0], ""mac_done"": [true, true], ""collision"": []}"
1,29,7.26,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.4, 0.0, 1.0, -0.4, -0.2, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,0,RIGHT,-1.0,False,"{""cur_mac"": [4, 0], ""mac_done"": [true, true], ""collision"": []}"
1,30,7.512,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.2, 0.6, 0.0, 1.0, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",5,go to knife 1,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
