participant_id,episode_index,episode_phase,policy_id,policy_short,metric_value,total_dishes,total_human_steps,n_rounds,emb_x,emb_y
Thinpath_P03,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,10.333333333333334,31.0,397.0,3,-1.7208959,-0.7372467
Thinpath_P03,15,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,2.6666666666666665,8.0,231.0,3,20.903227,-76.17148
Thinpath_P03,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,1.6666666666666667,5.0,177.0,3,-44.978638,-33.83267
Thinpath_P03,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,4.666666666666667,14.0,316.0,3,55.081795,8.812907
Thinpath_P04,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,5.666666666666667,17.0,423.0,3,-34.625923,18.150135
Thinpath_P04,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,9.666666666666666,29.0,485.0,3,0.52687544,49.09936
Thinpath_P04,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,6.333333333333333,19.0,451.0,3,-79.82283,29.541203
Thinpath_P04,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,4.0,12.0,429.0,3,-30.803719,72.97943
Thinpath_P04,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,4.333333333333333,13.0,405.0,3,78.770775,-32.54613
Thinpath_P04,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,11.333333333333334,34.0,487.0,3,13.387434,25.06189
Thinpath_P04,7,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,4.333333333333333,13.0,479.0,3,20.903227,-76.17148
Thinpath_P04,9,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,5.0,15.0,454.0,3,39.251617,65.513504
Thinpath_P04,11,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,9.666666666666666,29.0,460.0,3,-1.7208959,-0.7372467
Thinpath_P04,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,4.666666666666667,14.0,416.0,3,10.799539,109.37905
Thinpath_P04,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,14.0,42.0,542.0,3,0.52687544,49.09936
Thinpath_P04,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,5.0,15.0,446.0,3,55.081795,8.812907
Thinpath_P04,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3.6666666666666665,11.0,437.0,3,23.07529,-21.088758
Thinpath_P04,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,13.0,39.0,521.0,3,-44.978638,-33.83267
Thinpath_P04,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,5.333333333333333,16.0,430.0,3,0.52687544,49.09936
Thinpath_P05,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,2.0,4.0,141.0,2,-34.625923,18.150135
Thinpath_P05,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,0.0,0.0,51.0,1,0.52687544,49.09936
Thinpath_P05,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,1.6666666666666667,5.0,262.0,3,-79.82283,29.541203
Thinpath_P05,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,0.3333333333333333,1.0,257.0,3,-30.803719,72.97943
Thinpath_P05,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,3.6666666666666665,11.0,305.0,3,78.770775,-32.54613
Thinpath_P05,6,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,1.6666666666666667,5.0,228.0,3,55.081795,8.812907
Thinpath_P05,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3.0,9.0,240.0,3,23.07529,-21.088758
Thinpath_P05,9,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,5.333333333333333,16.0,298.0,3,52.37194,-64.3468
Thinpath_P05,11,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,3.6666666666666665,11.0,291.0,3,20.903227,-76.17148
Thinpath_P05,12,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,4.333333333333333,13.0,291.0,3,-1.7208959,-0.7372467
Thinpath_P05,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,6.666666666666667,20.0,318.0,3,52.37194,-64.3468
Thinpath_P05,14,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3.3333333333333335,10.0,232.0,3,13.387434,25.06189
Thinpath_P05,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,2.3333333333333335,7.0,227.0,3,-45.946297,-3.975665
Thinpath_P05,16,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.8,a0sp_1_helping0_True_gamma0.8,1.6666666666666667,5.0,201.0,3,-88.61982,-60.256435
Thinpath_P05,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,6.333333333333333,19.0,329.0,3,52.37194,-64.3468
