Round,Timestamp,AI_X,AI_Y,Human_X,Human_Y,AI_Holding_Dish,Human_Holding_Dish,Action_Human,Score_Count
1,37.423,1,3,3,1,False,False,STAY,3
1,37.623,1,3,3,1,False,False,STAY,3
1,37.823,1,3,3,1,False,False,STAY,3
1,38.023,1,3,3,1,False,False,STAY,3
1,38.223,1,3,3,1,False,False,STAY,3
1,38.423,1,3,3,1,False,False,STAY,3
1,38.623,1,3,3,1,False,False,STAY,3
1,38.823,1,3,3,1,False,False,STAY,3
1,39.023,1,3,3,1,False,False,STAY,3
1,39.223,1,3,3,1,False,False,STAY,3
1,39.423,1,3,3,1,False,False,STAY,3
1,39.623,1,3,3,1,False,False,STAY,3
1,39.942,1,3,3,1,False,False,STAY,3
1,40.142,1,3,3,1,False,False,STAY,3
1,40.342,1,3,3,1,False,False,UP,3
1,40.542,1,3,2,1,False,False,STAY,3
1,40.742,1,3,2,1,False,False,DOWN,3
1,40.942,1,3,3,1,False,False,RIGHT,3
1,41.142,1,3,3,2,False,False,STAY,3
1,41.342,1,3,3,2,False,False,RIGHT,3
1,41.542,1,3,3,3,False,False,STAY,3
1,41.742,1,3,3,3,False,False,LEFT,3
1,41.942,1,3,3,2,False,False,STAY,3
1,42.142,1,3,3,2,False,False,LEFT,3
1,42.342,1,3,3,1,False,False,STAY,3
1,42.542,1,3,3,1,False,False,UP,3
1,42.742,1,3,2,1,False,False,UP,3
1,42.942,1,3,1,1,False,False,STAY,3
1,43.142,1,3,1,1,False,False,RIGHT,3
1,43.342,1,3,1,2,False,False,STAY,3
1,43.542,1,3,1,2,False,False,LEFT,3
1,43.742,1,3,1,1,False,False,STAY,3
1,43.942,1,3,1,1,False,False,DOWN,3
1,44.142,1,3,2,1,False,False,DOWN,3
1,44.342,1,3,3,1,False,False,STAY,3
1,44.542,1,3,3,1,False,False,RIGHT,3
1,44.742,1,3,3,2,False,False,RIGHT,3
1,44.942,1,3,3,3,False,False,STAY,3
1,45.142,1,3,3,3,False,False,UP,3
1,45.342,1,3,2,3,False,False,STAY,3
1,45.542,1,3,2,3,False,False,DOWN,3
1,45.742,1,3,3,3,False,False,STAY,3
1,45.942,1,3,3,3,False,False,LEFT,3
1,46.142,1,3,3,2,False,False,STAY,3
1,46.342,1,3,3,2,False,False,STAY,3
1,46.542,1,3,3,2,False,False,STAY,3
1,46.742,1,3,3,2,False,False,STAY,3
1,46.942,1,3,3,2,False,False,STAY,3
1,47.142,1,3,3,2,False,False,STAY,3
1,47.342,1,3,3,2,False,False,STAY,3
1,47.542,1,3,3,2,False,False,STAY,3
1,47.742,1,3,3,2,False,False,STAY,3
1,47.942,1,3,3,2,False,False,STAY,3
1,48.142,1,3,3,2,False,False,STAY,3
1,48.342,1,3,3,2,False,False,STAY,3
1,48.542,1,3,3,2,False,False,STAY,3
1,48.742,1,3,3,2,False,False,STAY,3
1,48.942,1,3,3,2,False,False,STAY,3
1,49.142,1,3,3,2,False,False,STAY,3
1,49.342,1,3,3,2,False,False,STAY,3
1,49.542,1,3,3,2,False,False,STAY,3
1,49.742,1,3,3,2,False,False,STAY,3
1,49.942,1,3,3,2,False,False,STAY,3
1,50.142,1,3,3,2,False,False,STAY,3
1,50.342,1,3,3,2,False,False,STAY,3
1,50.542,1,3,3,2,False,False,STAY,3
1,50.742,1,3,3,2,False,False,STAY,3
1,50.942,1,3,3,2,False,False,STAY,3
1,51.142,1,3,3,2,False,False,STAY,3
1,51.342,1,3,3,2,False,False,STAY,3
1,51.542,1,3,3,2,False,False,LEFT,3
1,51.742,1,3,3,1,False,False,STAY,3
1,51.942,1,3,3,1,False,False,STAY,3
1,52.142,1,3,3,1,False,False,STAY,3
1,52.342,1,3,3,1,False,False,UP,3
1,52.542,1,3,2,1,False,False,UP,3
1,52.742,1,3,1,1,False,False,STAY,3
1,52.942,1,3,1,1,False,False,RIGHT,3
1,53.142,1,3,1,2,False,False,RIGHT,3
1,53.342,1,3,1,2,False,False,STAY,3
1,53.542,1,3,1,2,False,False,LEFT,3
1,53.742,1,3,1,1,False,False,STAY,3
1,53.942,1,3,1,1,False,False,DOWN,3
1,54.142,1,3,2,1,False,False,DOWN,3
1,54.342,1,3,3,1,False,False,STAY,3
1,54.542,1,3,3,1,False,False,RIGHT,3
1,54.742,1,3,3,2,False,False,RIGHT,3
1,54.942,1,3,3,3,False,False,STAY,3
1,55.142,1,3,3,3,False,False,UP,3
1,55.342,1,3,2,3,False,False,RIGHT,3
1,55.542,1,3,2,3,False,False,STAY,3
1,55.742,1,3,2,3,False,False,LEFT,3
1,55.942,1,3,2,3,False,False,STAY,3
1,56.142,1,3,2,3,False,False,DOWN,3
1,56.342,1,3,3,3,False,False,STAY,3
1,56.542,1,3,3,3,False,False,LEFT,3
1,56.742,1,3,3,2,False,False,LEFT,3
1,56.942,1,3,3,1,False,False,STAY,3
1,57.142,1,3,3,1,False,False,UP,3
1,57.342,1,3,2,1,False,False,STAY,3
1,57.542,1,3,2,1,False,False,UP,3
1,57.742,1,3,1,1,False,False,STAY,3
1,57.942,1,3,1,1,False,False,RIGHT,3
1,58.142,1,3,1,2,False,False,DOWN,3
1,58.342,1,3,1,2,False,False,STAY,3
1,58.542,1,3,1,2,False,False,UP,3
1,58.742,1,3,1,2,False,False,STAY,3
1,58.942,1,3,1,2,False,False,LEFT,3
1,59.142,1,3,1,1,False,False,STAY,3
1,59.342,1,3,1,1,False,False,DOWN,3
1,59.542,1,3,2,1,False,False,STAY,3
1,59.742,1,3,2,1,False,False,DOWN,3
1,59.942,1,3,3,1,False,False,STAY,3
2,0.200,1,3,3,1,False,False,STAY,0
2,0.400,1,3,3,1,False,False,STAY,0
2,0.600,1,3,3,1,False,False,STAY,0
2,0.800,1,3,3,1,False,False,STAY,0
2,1.000,1,3,3,1,False,False,STAY,0
2,1.200,2,3,3,1,False,False,LEFT,0
2,1.400,3,3,3,1,False,False,UP,0
2,1.600,3,3,2,1,False,False,STAY,0
2,1.800,3,3,2,1,False,False,UP,0
2,2.000,3,3,1,1,False,False,RIGHT,0
2,2.200,3,3,1,2,False,False,STAY,0
2,2.400,2,3,1,2,False,False,RIGHT,0
2,2.600,1,3,1,2,False,False,STAY,0
2,2.800,1,3,1,2,False,False,STAY,0
2,3.000,1,3,1,2,False,False,STAY,0
2,3.200,1,3,1,2,False,False,STAY,0
2,3.400,1,3,1,2,False,False,STAY,0
2,3.600,1,3,1,2,False,False,STAY,0
2,3.800,1,3,1,2,False,False,STAY,0
2,4.000,1,3,1,2,False,False,STAY,0
2,4.200,1,3,1,2,False,False,STAY,0
